Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772862987,250,,Aggregated,69.300000,9.100000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,200887,77967,2600.0,2700.5155117665977,0.422617988078855,113992.90255300002,3.7962137918332197
1772862988,250,,Aggregated,70.400000,9.100000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,200962,77979,2600.0,2700.47757130913,0.422617988078855,113992.90255300002,3.7968421890705706
1772862989,250,,Aggregated,68.900000,9.100000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,201030,77989,2600.0,2700.4368506028813,0.422617988078855,113992.90255300002,3.7972790130826244
1772862990,250,,Aggregated,69.900000,9.000000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,201092,77998,2600.0,2700.403436651951,0.422617988078855,113992.90255300002,3.7976697233107233
1772862991,250,,Aggregated,70.300000,9.500000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,201165,78010,2600.0,2700.375906833808,0.422617988078855,113992.90255300002,3.798439092287426
1772862992,250,,Aggregated,69.400000,9.500000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,201241,78016,2600.0,2700.3509304674635,0.422617988078855,113992.90255300002,3.7990916363961618
1772862993,250,,Aggregated,68.700000,9.300000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,201312,78029,2600.0,2700.310149885687,0.422617988078855,113992.90255300002,3.799694007312033
1772862994,250,,Aggregated,69.700000,9.300000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,201371,78034,2600.0,2700.279952147615,0.422617988078855,113992.90255300002,3.800030788941804
1772862995,250,,Aggregated,69.800000,9.600000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,201444,78040,2600.0,2700.2473693659763,0.422617988078855,113992.90255300002,3.8005549929508944
1772862996,250,,Aggregated,69.200000,9.700000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,201512,78042,2600.0,2700.2188597161758,0.422617988078855,113992.90255300002,3.800925006947477
1772862997,250,,Aggregated,68.600000,9.200000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,201585,78047,2600.0,2700.181649436958,0.422617988078855,113992.90255300002,3.8011806434010467
1772862998,250,,Aggregated,69.500000,8.700000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,201652,78056,2600.0,2700.1480397249584,0.422617988078855,113992.90255300002,3.8016235891535914
1772862999,250,,Aggregated,70.400000,8.300000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,201732,78070,2600.0,2700.0986405212125,0.422617988078855,113992.90255300002,3.8021979656177503
1772863000,250,,Aggregated,68.200000,7.800000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,201799,78077,2600.0,2700.067482168536,0.422617988078855,113992.90255300002,3.8026452063687133
1772863001,250,,Aggregated,68.800000,7.700000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,201862,78084,2600.0,2700.041714484834,0.422617988078855,113992.90255300002,3.8032269570300503
1772863002,250,,Aggregated,70.100000,8.100000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,201934,78101,2600.0,2699.9978892049116,0.422617988078855,113992.90255300002,3.803970604256836
1772863003,240,,Aggregated,69.700000,7.700000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,202007,78112,2600.0,2699.956851579097,0.422617988078855,113992.90255300002,3.80443251966516
1772863004,230,,Aggregated,68.100000,8.400000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,202070,78119,2600.0,2699.9295782610675,0.422617988078855,113992.90255300002,3.804953728905825
1772863005,220,,Aggregated,69.900000,8.500000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,202122,78124,2600.0,2699.9030519702064,0.422617988078855,113992.90255300002,3.805241388864151
1772863006,210,,Aggregated,69.300000,8.400000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,202192,78132,2600.0,2699.8683011952717,0.422617988078855,113992.90255300002,3.805719316293424
1772863007,200,,Aggregated,69.300000,8.700000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,202241,78137,2600.0,2699.8451872987685,0.422617988078855,113992.90255300002,3.8060185620126483
1772863008,190,,Aggregated,66.900000,8.600000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,202294,78143,2600.0,2699.822162904048,0.422617988078855,113992.90255300002,3.8064351883891763
1772863009,180,,Aggregated,66.100000,9.100000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,202341,78149,2600.0,2699.795296172179,0.422617988078855,113992.90255300002,3.8066284144093387
1772863010,170,,Aggregated,65.900000,8.900000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,202388,78154,2600.0,2699.7654265762035,0.422617988078855,113992.90255300002,3.8068462557068603
1772863011,160,,Aggregated,62.500000,8.300000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,202438,78162,2600.0,2699.7369961466484,0.422617988078855,113992.90255300002,3.80714589158162
1772863012,150,,Aggregated,59.600000,7.600000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,202475,78168,2600.0,2699.7176804653104,0.422617988078855,113992.90255300002,3.8073786887270034
1772863013,140,,Aggregated,58.800000,7.600000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,202511,78170,2600.0,2699.6999431859404,0.422617988078855,113992.90255300002,3.8075265047330764
1772863014,130,,Aggregated,55.700000,7.000000,2600,2700,2900,3000,4400,5500,8100,14000,94000,113000,114000,202554,78174,2600.0,2699.681023679497,0.422617988078855,113992.90255300002,3.807814212506295
